"SUM_YRMTH","VDS_CD","COCT_CD","TRFFCVLM","OCCPNCY","SPD_AVG","NMLT_CSCNT","REVISN_CSCNT","LAST_CHANGE_DAYHMINSEC"
"202202","0010VDE07500","1","1803457","6.00","98.60","80609","31","20220301083036"
"202202","0010VDE07600","1","1815316","6.31","94.09","80618","22","20220301083036"
"202202","0010VDE07700","1","1812613","6.05","98.38","80623","17","20220301083036"
"202202","0010VDE07800","1","1347372","6.40","94.35","80572","68","20220301083036"
"202202","0010VDE07900","1","1816888","6.17","96.59","80623","17","20220301083036"
"202202","0010VDE08000","1","1814660","6.19","95.61","80625","15","20220301083036"
"202202","0010VDE08100","1","1815226","6.41","94.89","80636","4","20220301083036"
"202202","0010VDE08101","1","1766862","3.11","92.80","80620","20","20220301083036"
"202202","0010VDE08150","1","1473847","2.61","96.42","79333","1236","20220301083036"
"202202","0010VDE08200","1","137","2.61","118.50","22021","4194","20220301083036"
"202202","0010VDE08300","1","1372560","6.64","77.75","62317","2121","20220301083036"
"202202","0010VDE08400","1","1936685","6.37","96.25","80575","65","20220301083036"
"202202","0010VDE08500","1","1937022","6.69","94.32","80461","126","20220301083036"
"202202","0010VDE08600","1","509652","4.22","99.04","26960","2405","20220301083036"
"202202","0010VDE08700","1","1019209","3.94","97.78","80418","215","20220301083036"
"202202","0010VDE08800","1","1526986","5.03","98.80","80605","35","20220301083036"
"202202","0010VDE08900","1","1534169","5.00","105.24","80621","19","20220301083036"
"202202","0010VDE09000","1","1641669","7.05","102.24","80381","223","20220301083036"
"202202","0010VDE09100","1","1536307","9.17","97.71","80620","20","20220301083036"
"202202","0010VDE09200","1","1634879","7.09","96.14","80431","183","20220301083036"
"202202","0010VDE09300","1","1537263","5.09","94.08","80621","19","20220301083036"
"202202","0010VDE09400","1","1530876","4.78","102.65","80596","44","20220301083036"
"202202","0010VDE09500","1","1535616","4.92","104.50","80604","36","20220301083036"
"202202","0010VDE09600","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE09700","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE09800","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE09900","1","1148504","3.75","110.24","80599","41","20220301083036"
"202202","0010VDE10000","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE10100","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE10200","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE10300","1","715573","3.94","107.54","47858","26","20220301083036"
"202202","0010VDE10400","1","776197","4.00","100.57","47732","118","20220301083036"
"202202","0010VDE10500","1","1210808","4.12","93.00","80627","13","20220301083036"
"202202","0010VDE10600","1","1209369","4.11","93.84","80624","16","20220301083036"
"202202","0010VDE10700","1","1215020","1.72","95.57","80627","13","20220301083036"
"202202","0010VDE10800","1","1225839","4.38","92.37","80627","13","20220301083036"
"202202","0010VDE10900","1","1213398","4.24","98.08","80627","13","20220301083036"
"202202","0010VDE11000","1","753213","3.91","90.71","80625","15","20220301083036"
"202202","0010VDE11100","1","1168058","3.15","92.08","80626","14","20220301083036"
"202202","0010VDE11200","1","1209383","4.08","93.05","80627","13","20220301083036"
"202202","0010VDE11300","1","1212691","4.27","88.96","80626","14","20220301083036"
"202202","0010VDE11400","1","1069210","3.51","97.68","80623","17","20220301083036"
"202202","0010VDE11500","1","1025400","3.56","102.25","80623","17","20220301083036"
"202202","0010VDE11650","1","1130089","3.50","105.11","80384","231","20220301083036"
"202202","0010VDE11700","1","1030652","3.51","107.28","80626","14","20220301083036"
"202202","0010VDE11800","1","1039025","3.96","91.27","80627","13","20220301083036"
"202202","0010VDE11900","1","807742","3.03","106.71","80620","20","20220301083036"
"202202","0010VDE12000","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE12100","1","931780","3.34","95.00","80626","14","20220301083036"
"202202","0010VDE12200","1","930954","3.23","111.76","80595","45","20220301083036"
"202202","0010VDE12300","1","1035347","3.24","109.47","80600","38","20220301083036"
"202202","0010VDE12400","1","931806","3.31","106.29","80614","26","20220301083036"
"202202","0010VDE12500","1","921615","3.17","107.83","80583","57","20220301083036"
"202202","0010VDE12600","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE12700","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE12800","1","933984","3.51","91.25","80624","16","20220301083036"
"202202","0010VDE12900","1","931415","3.44","102.40","80623","17","20220301083036"
"202202","0010VDE13000","1","933700","3.86","92.33","80619","21","20220301083036"
"202202","0010VDE13100","1","574110","2.73","93.88","80136","496","20220301083036"
"202202","0010VDE13200","1","641394","2.72","91.75","75312","4247","20220301083036"
"202202","0010VDE13300","1","576884","2.82","88.68","80582","54","20220301083036"
"202202","0010VDE13400","1","571909","2.70","93.13","80537","103","20220301083036"
"202202","0010VDE13500","1","580827","2.70","96.63","80493","144","20220301083036"
"202202","0010VDE13600","1","458790","2.23","97.53","80043","593","20220301083036"
"202202","0010VDE13650","1","0","0.00","0.00","59858","17843","20220301083036"
"202202","0010VDE13651","1","-1","-1.00","-1.00","30901","29941","20220301083036"
"202202","0010VDE13700","1","447994","2.53","96.89","80070","564","20220301083036"
"202202","0010VDE13800","1","432969","2.17","95.84","80576","64","20220301083036"
"202202","0010VDE13900","1","474798","2.88","90.60","80601","39","20220301083036"
"202202","0010VDE14100","1","471877","2.34","94.49","80442","155","20220301083036"
"202202","0010VDE14200","1","521073","2.08","99.60","76826","3606","20220301083036"
"202202","0010VDE14300","1","476130","2.15","93.76","80520","120","20220301083036"
"202202","0010VDE14400","1","531925","2.29","93.05","69387","9344","20220301083036"
"202202","0010VDE14500","1","473036","2.56","91.16","79971","669","20220301083036"
"202202","0010VDE14600","1","454030","2.35","95.39","79816","793","20220301083036"
"202202","0010VDE14700","1","443536","2.73","89.25","79987","567","20220301083036"
"202202","0010VDE14800","1","456970","2.20","96.32","80137","458","20220301083036"
"202202","0010VDE14900","1","455431","2.46","96.54","80502","134","20220301083036"
"202202","0010VDE15000","1","533864","2.26","97.16","79769","674","20220301083036"
"202202","0010VDE15100","1","453839","2.36","96.26","80578","62","20220301083036"
"202202","0010VDE15200","1","447576","2.35","96.63","80552","88","20220301083036"
"202202","0010VDE15300","1","455319","2.34","94.14","80582","58","20220301083036"
"202202","0010VDE15400","1","455163","2.39","92.87","80587","47","20220301083036"
"202202","0010VDE15500","1","452384","3.19","90.78","80527","113","20220301083036"
"202202","0010VDE15600","1","454988","2.41","90.78","79978","653","20220301083036"
"202202","0010VDE15700","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE15800","1","398153","2.48","92.83","80399","241","20220301083036"
"202202","0010VDE15900","1","497280","1.79","81.30","80351","288","20220301083036"
"202202","0010VDE16000","1","456597","2.44","92.89","80628","12","20220301083036"
"202202","0010VDE16100","1","459975","2.77","95.23","80628","12","20220301083036"
"202202","0010VDE16200","1","463183","2.64","96.70","80597","42","20220301083036"
"202202","0010VDE16300","1","470001","2.09","96.46","80606","34","20220301083036"
"202202","0010VDE16400","1","460066","1.66","99.68","80619","21","20220301083036"
"202202","0010VDE16500","1","453740","2.23","98.22","80628","12","20220301083036"
"202202","0010VDE16600","1","492658","2.34","85.52","80560","80","20220301083036"
"202202","0010VDE16700","1","441096","2.31","90.17","78972","1663","20220301083036"
"202202","0010VDE16800","1","285131","2.22","91.90","56328","14565","20220301083036"
"202202","0010VDE16900","1","455448","2.25","96.04","80582","58","20220301083036"
"202202","0010VDE17000","1","448518","1.83","100.21","80626","14","20220301083036"
"202202","0010VDE17100","1","454021","2.34","95.70","80629","11","20220301083036"
"202202","0010VDE17200","1","452137","2.74","90.00","80623","17","20220301083036"
"202202","0010VDE17300","1","393562","2.82","98.48","80618","22","20220301083036"
"202202","0010VDE17400","1","486678","2.49","97.52","80559","64","20220301083036"
"202202","0010VDE17500","1","445055","2.47","94.80","80625","15","20220301083036"
"202202","0010VDE17600","1","451018","2.43","91.60","80628","12","20220301083036"
"202202","0010VDE17700","1","452153","2.78","88.15","80121","362","20220301083036"
"202202","0010VDE17800","1","444814","2.69","92.58","79960","680","20220301083036"
"202202","0010VDE17900","1","464076","2.00","87.67","80560","78","20220301083036"
"202202","0010VDE17951","1","466670","0.32","88.11","79964","672","20220301083036"
"202202","0010VDE17952","1","473138","0.33","91.40","79964","672","20220301083036"
"202202","0010VDE17953","1","465697","0.32","88.01","79964","672","20220301083036"
"202202","0010VDE17955","1","468531","0.31","87.28","79964","672","20220301083036"
